epoch,loss,HR@K,NDCG@K,Precision@K,Recall@K,MRR@K,MAP@K,Coverage@K,Novelty(bits),GiniPicked,TailCov@K
1,0.43295879405369636,0.5123965347585329,0.3096925253379963,0.05123965347582782,0.5123965347585329,0.24763890075638065,0.24763890075638065,0.998,13.331870439676266,0.409309259279523,0.27035636419764997
2,0.25479503437218765,0.7457408014817959,0.5054235690380527,0.0745740801481329,0.7457408014817959,0.4306900102198147,0.4306900102198147,0.9993,13.384620852791482,0.4623748816187384,0.3650948310791256
3,0.1821529912911012,0.7980474251866716,0.5655464716461991,0.07980474251861923,0.7980474251866716,0.49278931449483104,0.49278931449483104,0.9997,13.394257519758824,0.45835385337475093,0.3752976133052924
