epoch,loss,HR@K,NDCG@K,Precision@K,Recall@K,MRR@K,MAP@K,Coverage@K,Novelty(bits),GiniPicked,TailCov@K
1,0.5390872484113634,0.5019969515136313,0.2812920907428499,0.05019969515133862,0.5019969515136313,0.21432877407911727,0.21432877407911727,0.9225,13.316273188436732,0.5083053742343555,0.24959578614289296
2,0.33084326679423703,0.6365355303015686,0.38450953169560803,0.0636535530301201,0.6365355303015686,0.3070150559210997,0.3070150559210997,0.9717,13.34006475745608,0.4712378827841359,0.2899284184529896
3,0.2515576167559797,0.6868934380366204,0.4274885193015915,0.06868934380362071,0.6868934380366204,0.34727185123731724,0.34727185123731724,0.986,13.350210661500471,0.44821542342177895,0.30562619382970924
