epoch,loss,HR@K,NDCG@K,Precision@K,Recall@K,MRR@K,MAP@K,Coverage@K,Novelty(bits),GiniPicked,TailCov@K
1,15.754081562672077,0.09203341758474985,0.04257697818943036,0.009203341758475756,0.09203341758474985,0.027923334273543373,0.027923334273543373,0.4276,13.25108663525327,0.626643818149852,0.12289644793455401
2,9.915742140321345,0.0870555094638137,0.039894975442608414,0.008705550946382028,0.0870555094638137,0.02591220304131979,0.02591220304131979,0.4947,13.224262157085645,0.6620971126447238,0.07155646452758109
3,9.360241479962786,0.0824441914758147,0.03731609289009928,0.008244419147582022,0.0824441914758147,0.023975239700026872,0.023975239700026872,0.5515,13.208295350674938,0.6552127295935356,0.04654151150900075
